time	V(n004)
1.280157454534197e-003	-1.764760e+000
1.280169973620765e-003	-1.931425e+000
1.280179994127996e-003	-2.064900e+000
1.280192161529635e-003	-2.227015e+000
1.280203344741603e-003	-2.376042e+000
1.280216087462540e-003	-2.545871e+000
1.280228388536107e-003	-2.709828e+000
1.280255185726537e-003	-3.067026e+000
1.280269297933868e-003	-3.255147e+000
1.280283103140076e-003	-3.439179e+000
1.280298613254698e-003	-3.645941e+000
1.280312063581699e-003	-3.825245e+000
1.280326390955835e-003	-4.016242e+000
1.280342296654679e-003	-4.228278e+000
1.280359312147856e-003	-4.454420e+000
1.280376968556825e-003	-4.683543e+000
1.280396227007483e-003	-4.913399e+000
1.280416462206917e-003	-5.118089e+000
1.280430424910645e-003	-5.226664e+000
1.280443729512326e-003	-5.298111e+000
1.280459953285890e-003	-5.352482e+000
1.280476050849978e-003	-5.379031e+000
1.280496451763656e-003	-5.388305e+000
1.280526181109273e-003	-5.369845e+000
1.280555910454890e-003	-5.354802e+000
1.280585639800507e-003	-5.343175e+000
1.280615369146124e-003	-5.334966e+000
1.280645098491741e-003	-5.330173e+000
1.280674827837358e-003	-5.328797e+000
1.280704557182975e-003	-5.330837e+000
1.280929504857027e-003	-5.320656e+000
1.281000000000000e-003	-5.317261e+000
1.281007205224824e-003	-5.316914e+000
1.281021615674472e-003	-5.316219e+000
1.281470399327348e-003	-5.294482e+000
1.281919182980224e-003	-5.272651e+000
1.282367966633099e-003	-5.250727e+000
1.282816750285975e-003	-5.228709e+000
1.283265533938850e-003	-5.206598e+000
1.283714317591726e-003	-5.184394e+000
1.284163101244602e-003	-5.162096e+000
1.284723954641999e-003	-5.134093e+000
1.285284808039397e-003	-5.105949e+000
1.285845661436795e-003	-5.077662e+000
1.286406514834192e-003	-5.049234e+000
1.286967368231590e-003	-5.020664e+000
1.287528221628988e-003	-4.991951e+000
1.288089075026385e-003	-4.963097e+000
1.288544012662767e-003	-4.939587e+000
1.288998950299148e-003	-4.915987e+000
1.289453887935530e-003	-4.892296e+000
1.289908825571911e-003	-4.868514e+000
1.290363763208293e-003	-4.844643e+000
1.290818700844674e-003	-4.820681e+000
1.291273638481055e-003	-4.796628e+000
1.292000010000000e-003	-4.758051e+000
1.292000010210394e-003	-4.758051e+000
1.292000010631182e-003	-4.758051e+000
1.292000011472759e-003	-4.758051e+000
1.292000013155911e-003	-4.758051e+000
1.292000016522217e-003	-4.758050e+000
1.292000020000001e-003	-4.758050e+000
1.292000020313231e-003	-4.758050e+000
1.292000020939692e-003	-4.758050e+000
1.292000022192613e-003	-4.758050e+000
1.292000024698455e-003	-4.758050e+000
1.292000029710140e-003	-4.758050e+000
1.292000039733510e-003	-4.758049e+000
1.292000059780250e-003	-4.758048e+000
1.292000073780055e-003	-4.758048e+000
1.292000091737459e-003	-4.758047e+000
1.292000121105940e-003	-4.758045e+000
1.292000135600044e-003	-4.758044e+000
1.292000152164772e-003	-4.758043e+000
1.292000162747137e-003	-4.758043e+000
1.292000175150254e-003	-4.758042e+000
1.292000199956487e-003	-4.758041e+000
1.292000249568953e-003	-4.758039e+000
1.292000348793886e-003	-4.758034e+000
1.292000459403707e-003	-4.758030e+000
1.292000593892781e-003	-4.758029e+000
1.292000760601322e-003	-4.758030e+000
1.292000792208922e-003	-4.758032e+000
1.292000834352389e-003	-4.758034e+000
1.292000918639322e-003	-4.758040e+000
1.292000939711055e-003	-4.758042e+000
1.292000981854522e-003	-4.758046e+000
1.292001066141455e-003	-4.758056e+000
1.292001087213189e-003	-4.758059e+000
1.292001129356655e-003	-4.758066e+000
1.292001213643589e-003	-4.758081e+000
1.292001332247955e-003	-4.758108e+000
1.292001462309935e-003	-4.758144e+000
1.292001631805903e-003	-4.758201e+000
1.292001710180840e-003	-4.758231e+000
1.292001760453658e-003	-4.758252e+000
1.292001799183742e-003	-4.758269e+000
1.292001843749237e-003	-4.758290e+000
1.292001898171005e-003	-4.758317e+000
1.292002007014542e-003	-4.758377e+000
1.292002224701615e-003	-4.758514e+000
1.292002605008112e-003	-4.758805e+000
1.292003002878017e-003	-4.759173e+000
1.292003419806431e-003	-4.759636e+000
1.292003867986821e-003	-4.760224e+000
1.292004408785708e-003	-4.761051e+000
1.292005093343324e-003	-4.762269e+000
1.292005933780986e-003	-4.764024e+000
1.292007298848924e-003	-4.767444e+000
1.292010028984799e-003	-4.775562e+000
1.292015489256549e-003	-4.793242e+000
1.292019571960148e-003	-4.805711e+000
1.292023156262660e-003	-4.814245e+000
1.292026586904030e-003	-4.818865e+000
