time	V(vin)	V(vout)	V(n004)
1.000000000000003e-005	4.977810e+000	-1.282708e+000	-1.058035e+000
1.017714285723712e-005	4.977017e+000	-1.283984e+000	-1.049980e+000
1.035428571447421e-005	4.976211e+000	-1.285256e+000	-1.041921e+000
1.053142857171130e-005	4.975390e+000	-1.286525e+000	-1.033859e+000
1.070857142894839e-005	4.974556e+000	-1.287791e+000	-1.025794e+000
1.088571428618548e-005	4.973708e+000	-1.289053e+000	-1.017727e+000
1.106285714342257e-005	4.972847e+000	-1.290312e+000	-1.009656e+000
1.124000000065966e-005	4.971971e+000	-1.291567e+000	-1.001582e+000
1.200000999999982e-005	4.968057e+000	-1.296916e+000	-9.669104e-001
1.200001021039402e-005	4.968057e+000	-1.296916e+000	-9.669104e-001
1.200001063118199e-005	4.968057e+000	-1.296916e+000	-9.669104e-001
1.200001147275837e-005	4.968057e+000	-1.296916e+000	-9.669103e-001
1.200001315591068e-005	4.968057e+000	-1.296916e+000	-9.669102e-001
1.200001652221531e-005	4.968057e+000	-1.296916e+000	-9.669101e-001
1.200002000000021e-005	4.968057e+000	-1.296916e+000	-9.669099e-001
1.200002031322839e-005	4.968057e+000	-1.296916e+000	-9.669099e-001
1.200002093968474e-005	4.968057e+000	-1.296916e+000	-9.669099e-001
1.200002219259701e-005	4.968056e+000	-1.296916e+000	-9.669098e-001
1.200002469842155e-005	4.968056e+000	-1.296916e+000	-9.669097e-001
1.200002971007107e-005	4.968056e+000	-1.296916e+000	-9.669095e-001
1.200003973336966e-005	4.968056e+000	-1.296916e+000	-9.669090e-001
1.200005977996729e-005	4.968056e+000	-1.296917e+000	-9.669081e-001
1.200009433397539e-005	4.968056e+000	-1.296917e+000	-9.669065e-001
1.200013057769392e-005	4.968056e+000	-1.296917e+000	-9.669049e-001
1.200017667554992e-005	4.968056e+000	-1.296917e+000	-9.669029e-001
1.200023138986806e-005	4.968055e+000	-1.296918e+000	-9.669005e-001
1.200027024355526e-005	4.968055e+000	-1.296918e+000	-9.668990e-001
1.200032362309996e-005	4.968055e+000	-1.296918e+000	-9.668970e-001
1.200037909937024e-005	4.968055e+000	-1.296919e+000	-9.668953e-001
1.200041112152253e-005	4.968054e+000	-1.296919e+000	-9.668944e-001
1.200043618926772e-005	4.968054e+000	-1.296919e+000	-9.668939e-001
1.200048440639983e-005	4.968054e+000	-1.296920e+000	-9.668931e-001
1.200050814614264e-005	4.968054e+000	-1.296920e+000	-9.668930e-001
1.200055562562783e-005	4.968054e+000	-1.296920e+000	-9.668932e-001
1.200065058459821e-005	4.968053e+000	-1.296921e+000	-9.668959e-001
1.200084050253895e-005	4.968052e+000	-1.296922e+000	-9.669114e-001
1.200111793324236e-005	4.968050e+000	-1.296924e+000	-9.669542e-001
1.200128904894080e-005	4.968050e+000	-1.296925e+000	-9.669942e-001
1.200136438095139e-005	4.968050e+000	-1.296926e+000	-9.670169e-001
1.200142455629917e-005	4.968049e+000	-1.296926e+000	-9.670380e-001
1.200149193701346e-005	4.968049e+000	-1.296927e+000	-9.670640e-001
1.200157846625600e-005	4.968048e+000	-1.296927e+000	-9.671001e-001
1.200160919213140e-005	4.968048e+000	-1.296927e+000	-9.671138e-001
1.200166072431010e-005	4.968048e+000	-1.296928e+000	-9.671386e-001
1.200176378866706e-005	4.968047e+000	-1.296929e+000	-9.671934e-001
1.200196991738142e-005	4.968046e+000	-1.296930e+000	-9.673164e-001
1.200212613321943e-005	4.968045e+000	-1.296931e+000	-9.674230e-001
1.200233577566606e-005	4.968044e+000	-1.296933e+000	-9.675859e-001
1.200252689881635e-005	4.968043e+000	-1.296934e+000	-9.677532e-001
1.200276044614583e-005	4.968042e+000	-1.296935e+000	-9.679830e-001
1.200301131137459e-005	4.968040e+000	-1.296937e+000	-9.682590e-001
1.200328802834598e-005	4.968039e+000	-1.296939e+000	-9.685983e-001
1.200357033893495e-005	4.968038e+000	-1.296941e+000	-9.689817e-001
1.200386549016566e-005	4.968036e+000	-1.296943e+000	-9.694247e-001
1.200422360934580e-005	4.968034e+000	-1.296946e+000	-9.700171e-001
1.200460259464338e-005	4.968032e+000	-1.296948e+000	-9.707127e-001
1.200515440488497e-005	4.968029e+000	-1.296952e+000	-9.718408e-001
1.200572101082162e-005	4.968026e+000	-1.296956e+000	-9.731587e-001
1.200679226924864e-005	4.968020e+000	-1.296964e+000	-9.760245e-001
1.200787863831973e-005	4.968015e+000	-1.296971e+000	-9.794683e-001
1.201005137646235e-005	4.968003e+000	-1.296986e+000	-9.879645e-001
1.201367086461338e-005	4.967984e+000	-1.297012e+000	-1.006033e+000
1.202090984091502e-005	4.967945e+000	-1.297062e+000	-1.051316e+000
1.203166174836966e-005	4.967888e+000	-1.297138e+000	-1.127193e+000
1.204356865337937e-005	4.967824e+000	-1.297221e+000	-1.209393e+000
1.205265764497128e-005	4.967776e+000	-1.297284e+000	-1.261381e+000
1.206032658368538e-005	4.967735e+000	-1.297338e+000	-1.291750e+000
1.206744405152227e-005	4.967697e+000	-1.297388e+000	-1.306765e+000
1.207473014883977e-005	4.967658e+000	-1.297439e+000	-1.309143e+000
1.208201653737353e-005	4.967619e+000	-1.297489e+000	-1.298499e+000
1.209177663781796e-005	4.967566e+000	-1.297558e+000	-1.265697e+000
1.210693216183124e-005	4.967485e+000	-1.297663e+000	-1.187501e+000
1.212290519639033e-005	4.967400e+000	-1.297775e+000	-1.081852e+000
1.213972519936235e-005	4.967309e+000	-1.297892e+000	-9.558685e-001
1.215745223631442e-005	4.967214e+000	-1.298016e+000	-8.192372e-001
1.216830655077512e-005	4.967155e+000	-1.298092e+000	-7.380801e-001
1.217928376885061e-005	4.967096e+000	-1.298168e+000	-6.610876e-001
1.219103946004281e-005	4.967032e+000	-1.298250e+000	-5.852700e-001
1.220336004136274e-005	4.966966e+000	-1.298336e+000	-5.137707e-001
1.221618496778480e-005	4.966897e+000	-1.298426e+000	-4.482545e-001
1.222983917514159e-005	4.966823e+000	-1.298521e+000	-3.880621e-001
1.224410392921876e-005	4.966745e+000	-1.298620e+000	-3.347731e-001
1.225931694806039e-005	4.966662e+000	-1.298726e+000	-2.873927e-001
1.227570907278873e-005	4.966574e+000	-1.298840e+000	-2.455040e-001
1.229492121631367e-005	4.966469e+000	-1.298974e+000	-2.050445e-001
1.230813583708241e-005	4.966397e+000	-1.299066e+000	-1.816845e-001
1.231967085438181e-005	4.966334e+000	-1.299146e+000	-1.642378e-001
1.233284404340970e-005	4.966262e+000	-1.299238e+000	-1.467514e-001
1.234812176870463e-005	4.966178e+000	-1.299344e+000	-1.288770e-001
1.236345993108805e-005	4.966094e+000	-1.299451e+000	-1.131430e-001
1.238067660432139e-005	4.966000e+000	-1.299571e+000	-9.775493e-002
1.239950351374520e-005	4.965897e+000	-1.299701e+000	-8.326524e-002
1.242295542591958e-005	4.965768e+000	-1.299864e+000	-6.818696e-002
1.245436357821860e-005	4.965595e+000	-1.300082e+000	-5.198410e-002
1.249015476422963e-005	4.965397e+000	-1.300331e+000	-3.788307e-002
1.252884737937233e-005	4.965182e+000	-1.300599e+000	-2.682745e-002
1.257081937571089e-005	4.964949e+000	-1.300890e+000	-1.844814e-002
1.261521154823911e-005	4.964701e+000	-1.301198e+000	-1.236205e-002
1.265574636908707e-005	4.964474e+000	-1.301479e+000	-8.563618e-003
1.269653327142396e-005	4.964245e+000	-1.301761e+000	-5.935467e-003
1.273597364393744e-005	4.964023e+000	-1.302033e+000	-4.159640e-003
1.277565574300723e-005	4.963799e+000	-1.302308e+000	-2.904279e-003
1.281242029765439e-005	4.963590e+000	-1.302562e+000	-2.068229e-003
1.284064078973775e-005	4.963430e+000	-1.302756e+000	-1.597564e-003
1.287148124933749e-005	4.963254e+000	-1.302969e+000	-1.213376e-003
1.290458587928237e-005	4.963065e+000	-1.303197e+000	-9.034943e-004
1.294309904747906e-005	4.962845e+000	-1.303463e+000	-6.417005e-004
1.298798617166462e-005	4.962587e+000	-1.303772e+000	-4.150123e-004
1.299999999999999e-005	4.962518e+000	-1.303854e+000	-3.668843e-004
1.300554765556582e-005	4.962486e+000	-1.303893e+000	-3.493275e-004
1.301664296669792e-005	4.962422e+000	-1.303969e+000	-3.165745e-004
1.308321483348965e-005	4.962037e+000	-1.304427e+000	-1.800790e-004
1.317197732254557e-005	4.961521e+000	-1.305036e+000	-8.003206e-005
1.326220920564586e-005	4.960992e+000	-1.305655e+000	-2.845766e-005
1.352231013420756e-005	4.959449e+000	-1.307433e+000	8.865807e-006
1.374282313631233e-005	4.958118e+000	-1.308934e+000	1.244649e-005
1.400000000000012e-005	4.956538e+000	-1.310681e+000	1.310637e-005
1.403002135714473e-005	4.956352e+000	-1.310884e+000	1.310572e-005
1.409006407143395e-005	4.955978e+000	-1.311290e+000	1.310466e-005
1.423377896735233e-005	4.955077e+000	-1.312259e+000	1.310315e-005
1.437749386327072e-005	4.954166e+000	-1.313227e+000	1.310173e-005
1.452120875918911e-005	4.953247e+000	-1.314192e+000	1.310040e-005
1.466492365510749e-005	4.952318e+000	-1.315155e+000	1.309916e-005
1.480863855102588e-005	4.951381e+000	-1.316117e+000	1.309801e-005
1.495235344694427e-005	4.950434e+000	-1.317076e+000	1.309695e-005
1.509606834286265e-005	4.949478e+000	-1.318033e+000	1.309598e-005
1.706148373943226e-005	4.935497e+000	-1.330875e+000	1.308065e-005
1.749026596939603e-005	4.932221e+000	-1.333617e+000	1.307727e-005
1.791904819935979e-005	4.928865e+000	-1.336338e+000	1.307389e-005
1.834783042932355e-005	4.925429e+000	-1.339037e+000	1.307049e-005
1.877661265928731e-005	4.921912e+000	-1.341716e+000	1.306709e-005
1.920539488925108e-005	4.918315e+000	-1.344373e+000	1.306367e-005
1.963417711921484e-005	4.914638e+000	-1.347009e+000	1.306024e-005
2.006295934917860e-005	4.910880e+000	-1.349624e+000	1.305680e-005
2.049167944215311e-005	4.907042e+000	-1.352216e+000	1.305335e-005
2.092039953512762e-005	4.903124e+000	-1.354785e+000	1.304989e-005
2.134911962810212e-005	4.899126e+000	-1.357334e+000	1.304642e-005
2.177783972107663e-005	4.895049e+000	-1.359860e+000	1.304293e-005
2.220655981405114e-005	4.890891e+000	-1.362365e+000	1.303944e-005
2.263527990702565e-005	4.886654e+000	-1.364848e+000	1.303593e-005
2.306400000000016e-005	4.882337e+000	-1.367310e+000	1.303242e-005
2.349485714285894e-005	4.877917e+000	-1.369760e+000	1.302887e-005
2.392571428571773e-005	4.873418e+000	-1.372188e+000	1.302531e-005
2.435657142857651e-005	4.868838e+000	-1.374594e+000	1.302174e-005
2.478742857143530e-005	4.864179e+000	-1.376977e+000	1.301816e-005
2.521828571429408e-005	4.859438e+000	-1.379339e+000	1.301457e-005
2.564914285715287e-005	4.854618e+000	-1.381677e+000	1.301097e-005
2.608000000001165e-005	4.849717e+000	-1.383994e+000	1.300735e-005
2.807999999971918e-005	4.825923e+000	-1.394444e+000	1.299042e-005
2.838857143121736e-005	4.822100e+000	-1.396012e+000	1.298778e-005
2.869714286271554e-005	4.818235e+000	-1.397568e+000	1.298514e-005
2.900571429421372e-005	4.814330e+000	-1.399112e+000	1.298249e-005
2.931428572571190e-005	4.810384e+000	-1.400645e+000	1.297983e-005
2.962285715721009e-005	4.806397e+000	-1.402166e+000	1.297718e-005
2.993142858870827e-005	4.802369e+000	-1.403675e+000	1.297451e-005
3.024000002020645e-005	4.798301e+000	-1.405172e+000	1.297184e-005
3.064342857027404e-005	4.792921e+000	-1.407111e+000	1.296834e-005
3.104685712034163e-005	4.787471e+000	-1.409030e+000	1.296482e-005
3.145028567040922e-005	4.781953e+000	-1.410928e+000	1.296130e-005
3.185371422047681e-005	4.776366e+000	-1.412806e+000	1.295776e-005
3.225714277054440e-005	4.770709e+000	-1.414663e+000	1.295422e-005
3.266057132061200e-005	4.764984e+000	-1.416500e+000	1.295067e-005
3.306399987067958e-005	4.759189e+000	-1.418316e+000	1.294710e-005
3.349484373047132e-005	4.752925e+000	-1.420232e+000	1.294328e-005
3.392568759026307e-005	4.746582e+000	-1.422124e+000	1.293945e-005
3.435653145005480e-005	4.740162e+000	-1.423992e+000	1.293560e-005
3.478737530984655e-005	4.733663e+000	-1.425837e+000	1.293175e-005
3.521821916963828e-005	4.727086e+000	-1.427658e+000	1.292788e-005
3.564906302943003e-005	4.720431e+000	-1.429455e+000	1.292400e-005
3.607990688922176e-005	4.713698e+000	-1.431229e+000	1.292011e-005
3.660978511447995e-005	4.705310e+000	-1.433377e+000	1.291530e-005
3.713966333973813e-005	4.696806e+000	-1.435488e+000	1.291048e-005
3.766954156499632e-005	4.688185e+000	-1.437562e+000	1.290563e-005
3.819941979025450e-005	4.679447e+000	-1.439600e+000	1.290077e-005
3.872929801551269e-005	4.670592e+000	-1.441602e+000	1.289589e-005
3.925917624077087e-005	4.661621e+000	-1.443566e+000	1.289099e-005
3.978905446602905e-005	4.652533e+000	-1.445495e+000	1.288607e-005
4.000000000000011e-005	4.648882e+000	-1.446253e+000	1.288411e-005
4.000000100000010e-005	4.648882e+000	-1.446253e+000	1.288411e-005
4.000000300000009e-005	4.648882e+000	-1.446253e+000	1.288411e-005
4.000000700000008e-005	4.648882e+000	-1.446253e+000	1.288411e-005
4.000001000000007e-005	4.648882e+000	-1.446253e+000	1.288411e-005
