time	V(vo)
5.865401951806625e-005	6.997187e-002
5.866401951806625e-005	1.333252e+000
5.867401951806625e-005	3.730319e+000
5.868401951806625e-005	4.960166e+000
5.869401951806625e-005	4.999934e+000
5.869978265946471e-005	4.999982e+000
5.870696176118747e-005	4.999985e+000
5.870782661195538e-005	4.999985e+000
5.870955631349119e-005	4.999985e+000
5.871301571656280e-005	4.999985e+000
5.871993452270604e-005	4.999985e+000
5.872789067875159e-005	4.999985e+000
5.874263378878897e-005	4.999985e+000
5.875907555339789e-005	4.999985e+000
5.877922192903024e-005	4.999985e+000
5.879620129498713e-005	4.999985e+000
5.881272470889543e-005	4.999985e+000
5.883469515629783e-005	4.999985e+000
5.885892884729282e-005	4.999985e+000
5.890739622928280e-005	4.999985e+000
5.895929463237024e-005	4.999985e+000
5.902981717175201e-005	4.999985e+000
5.910734524467863e-005	4.999985e+000
5.923191947291074e-005	4.999985e+000
5.940383286407857e-005	4.999985e+000
6.168453976233472e-005	4.999985e+000
6.396524666059088e-005	4.999985e+000
6.624595355884704e-005	4.999985e+000
6.852666045710319e-005	4.999985e+000
7.080736735535935e-005	4.999985e+000
7.308807425361551e-005	4.999985e+000
7.536878115187166e-005	4.999985e+000
7.765672758044308e-005	4.999985e+000
7.994467400901450e-005	4.999985e+000
8.223262043758591e-005	4.999985e+000
8.452056686615732e-005	4.999985e+000
8.680851329472874e-005	4.999985e+000
8.909645972330016e-005	4.999985e+000
9.138440615187157e-005	4.999985e+000
9.372815615187155e-005	4.999985e+000
9.607190615187154e-005	4.999985e+000
9.841565615187152e-005	4.999985e+000
1.007594061518715e-004	4.999985e+000
1.031031561518715e-004	4.999985e+000
1.054469061518715e-004	4.999985e+000
1.077906561518715e-004	4.999985e+000
1.103968030024574e-004	4.999985e+000
1.104068030024574e-004	4.999985e+000
1.104168030024574e-004	4.999985e+000
1.104268030024574e-004	4.999985e+000
1.104368030024574e-004	4.999985e+000
1.104426288808338e-004	4.999985e+000
1.104480216511810e-004	4.999985e+000
1.104528724460400e-004	4.999985e+000
1.104589842565831e-004	4.999982e+000
1.104594311253337e-004	4.999981e+000
1.104603248628349e-004	4.999978e+000
1.104621123378374e-004	4.999949e+000
1.104656872878422e-004	4.998144e+000
1.104728371878520e-004	4.621682e+000
1.104806000856133e-004	3.354407e+000
1.104952276023658e-004	9.206471e-001
1.105116207190012e-004	1.392815e-002
1.105316804045257e-004	1.359927e-002
1.105496035438198e-004	1.359927e-002
1.105683005811423e-004	1.359927e-002
1.105995826675214e-004	1.359927e-002
1.106242537343899e-004	1.359927e-002
1.106526875846260e-004	1.359927e-002
1.107095552850983e-004	1.359927e-002
1.107744139874380e-004	1.359927e-002
1.108635169327071e-004	1.359927e-002
1.109697682959360e-004	1.359927e-002
1.111541174206400e-004	1.359927e-002
1.114503513116440e-004	1.359927e-002
1.137382977402155e-004	1.359927e-002
1.160262441687869e-004	1.359927e-002
1.183141905973583e-004	1.359927e-002
