time	V(sin32)	V(vout)
5.061994761897840e-005	-3.271855e+000	3.864298e+000
5.077130998843192e-005	-3.266025e+000	3.858958e+000
5.092267235788545e-005	-3.260328e+000	3.853603e+000
5.107403472733897e-005	-3.254765e+000	3.848235e+000
5.202470396895010e-005	-3.230980e+000	3.814204e+000
5.299999999999988e-005	-3.198116e+000	3.778789e+000
5.400308513564566e-005	-3.163807e+000	3.741899e+000
5.499999999999993e-005	-3.137740e+000	3.704835e+000
5.600614480551582e-005	-3.093158e+000	3.667089e+000
5.699999999999998e-005	-3.057272e+000	3.629531e+000
5.804557043651731e-005	-3.018753e+000	3.589795e+000
5.821564825225818e-005	-3.011783e+000	3.583312e+000
5.838572606799906e-005	-3.005120e+000	3.576827e+000
5.855580388373993e-005	-2.998765e+000	3.570338e+000
5.872588169948081e-005	-2.992717e+000	3.563847e+000
5.889595951522168e-005	-2.986976e+000	3.557352e+000
5.906603733096255e-005	-2.981543e+000	3.550855e+000
5.923611514670342e-005	-2.976417e+000	3.544354e+000
5.937472579255954e-005	-2.973546e+000	3.539054e+000
5.951333643841567e-005	-2.970124e+000	3.533753e+000
5.965194708427178e-005	-2.966152e+000	3.528450e+000
5.979055773012791e-005	-2.961629e+000	3.523147e+000
5.992916837598402e-005	-2.956555e+000	3.517843e+000
6.006777902184015e-005	-2.950932e+000	3.512538e+000
6.020638966769626e-005	-2.944757e+000	3.507232e+000
6.043010752687997e-005	-2.933988e+000	3.498667e+000
6.043011752687993e-005	-2.933988e+000	3.498666e+000
6.052691618788757e-005	-2.929101e+000	3.494960e+000
6.062371484889521e-005	-2.924337e+000	3.491254e+000
6.072051350990285e-005	-2.919694e+000	3.487548e+000
6.081731217091049e-005	-2.915174e+000	3.483841e+000
6.091411083191813e-005	-2.910776e+000	3.480135e+000
6.101090949292577e-005	-2.906500e+000	3.476429e+000
6.110770815393341e-005	-2.902346e+000	3.472723e+000
6.203662554639540e-005	-2.866012e+000	3.437173e+000
6.269066556025731e-005	-2.840008e+000	3.412175e+000
6.269079175119739e-005	-2.840003e+000	3.412170e+000
6.269096040546871e-005	-2.839996e+000	3.412163e+000
6.269104755951701e-005	-2.839993e+000	3.412160e+000
6.269112820837049e-005	-2.839990e+000	3.412157e+000
6.269123238480901e-005	-2.839986e+000	3.412153e+000
6.269126797516433e-005	-2.839984e+000	3.412152e+000
6.269128715335939e-005	-2.839983e+000	3.412151e+000
6.269129599995775e-005	-2.839983e+000	3.412151e+000
6.269130164899823e-005	-2.839983e+000	3.412151e+000
6.269130556633127e-005	-2.839983e+000	3.412150e+000
6.269131032991988e-005	-2.839983e+000	3.412150e+000
6.269131591626941e-005	-2.839982e+000	3.412150e+000
6.269132585204514e-005	-2.839982e+000	3.412150e+000
6.269133935796201e-005	-2.839981e+000	3.412149e+000
6.269136636979575e-005	-2.839980e+000	3.412148e+000
6.269142039346302e-005	-2.839978e+000	3.412146e+000
6.269150519037209e-005	-2.839975e+000	3.412143e+000
6.269158871441091e-005	-2.839971e+000	3.412140e+000
6.269170563253062e-005	-2.839967e+000	3.412135e+000
6.269184853467951e-005	-2.839961e+000	3.412130e+000
6.269204602778211e-005	-2.839953e+000	3.412122e+000
6.269228778265842e-005	-2.839944e+000	3.412113e+000
6.269261383571754e-005	-2.839931e+000	3.412100e+000
6.269303184698052e-005	-2.839914e+000	3.412085e+000
6.269359855954671e-005	-2.839891e+000	3.412063e+000
6.269434852415210e-005	-2.839862e+000	3.412034e+000
6.269680531913982e-005	-2.839764e+000	3.411940e+000
6.269882655435591e-005	-2.839684e+000	3.411863e+000
6.270171628564589e-005	-2.839569e+000	3.411753e+000
6.270599137111078e-005	-2.839399e+000	3.411590e+000
6.271240878053799e-005	-2.839144e+000	3.411345e+000
6.271991425521812e-005	-2.838845e+000	3.411058e+000
6.272851132788472e-005	-2.838503e+000	3.410729e+000
6.273847337398401e-005	-2.838107e+000	3.410349e+000
6.275087578763651e-005	-2.837614e+000	3.409875e+000
6.276658524271748e-005	-2.836990e+000	3.409276e+000
6.278849326311659e-005	-2.836118e+000	3.408439e+000
6.281293171001468e-005	-2.835147e+000	3.407506e+000
6.283567050156510e-005	-2.834243e+000	3.406638e+000
6.286087570556132e-005	-2.833241e+000	3.405675e+000
6.288854034222201e-005	-2.832141e+000	3.404619e+000
6.292125571066278e-005	-2.830840e+000	3.403370e+000
6.296997555480226e-005	-2.828903e+000	3.401511e+000
6.299999999999991e-005	-2.827709e+000	3.400365e+000
6.300642510234699e-005	-2.827385e+000	3.400120e+000
6.301927530704137e-005	-2.826738e+000	3.399629e+000
6.304497571642991e-005	-2.825442e+000	3.398649e+000
6.307131164288234e-005	-2.824115e+000	3.397644e+000
6.310501378214116e-005	-2.822416e+000	3.396358e+000
6.319655350624058e-005	-2.817802e+000	3.392866e+000
6.332891336225223e-005	-2.811131e+000	3.387820e+000
6.346913255986849e-005	-2.804064e+000	3.382475e+000
6.360329524683584e-005	-2.797301e+000	3.377364e+000
6.372951374894703e-005	-2.790939e+000	3.372558e+000
6.390581043227268e-005	-2.782053e+000	3.365849e+000
6.397272535975657e-005	-2.779106e+000	3.363303e+000
6.403964028724047e-005	-2.776369e+000	3.360758e+000
6.410655521472436e-005	-2.773842e+000	3.358214e+000
6.417347014220827e-005	-2.771525e+000	3.355671e+000
6.424038506969217e-005	-2.769417e+000	3.353128e+000
6.430729999717606e-005	-2.767520e+000	3.350587e+000
6.437421492465996e-005	-2.765832e+000	3.348046e+000
6.450973501014794e-005	-2.761677e+000	3.342902e+000
6.466674057797103e-005	-2.756862e+000	3.336948e+000
6.477055382390947e-005	-2.753913e+000	3.333012e+000
6.487436706984790e-005	-2.750684e+000	3.329078e+000
6.497818031578634e-005	-2.747176e+000	3.325146e+000
6.508199356172478e-005	-2.743387e+000	3.321217e+000
6.518580680766322e-005	-2.739320e+000	3.317290e+000
6.528962005360165e-005	-2.734972e+000	3.313365e+000
6.539343329954009e-005	-2.730345e+000	3.309443e+000
6.556710051160044e-005	-2.723151e+000	3.302886e+000
6.576492179293609e-005	-2.714956e+000	3.295426e+000
6.600000000000009e-005	-2.705217e+000	3.286568e+000
6.611869276880152e-005	-2.700247e+000	3.282103e+000
6.627694979387017e-005	-2.693619e+000	3.276155e+000
6.659346384400747e-005	-2.680365e+000	3.264277e+000
6.691346870270343e-005	-2.666964e+000	3.252286e+000
6.702631491771450e-005	-2.662877e+000	3.248064e+000
6.713916113272557e-005	-2.658914e+000	3.243847e+000
6.725200734773664e-005	-2.655076e+000	3.239633e+000
6.736485356274771e-005	-2.651361e+000	3.235423e+000
6.747769977775877e-005	-2.647772e+000	3.231217e+000
6.759054599276984e-005	-2.644306e+000	3.227015e+000
6.770339220778091e-005	-2.640965e+000	3.222817e+000
6.781964619199196e-005	-2.637332e+000	3.218493e+000
6.793590017620301e-005	-2.633140e+000	3.214173e+000
6.805215416041405e-005	-2.628387e+000	3.209858e+000
6.816840814462511e-005	-2.623074e+000	3.205547e+000
6.828466212883616e-005	-2.617201e+000	3.201241e+000
6.840091611304721e-005	-2.610767e+000	3.196939e+000
6.851717009725825e-005	-2.603774e+000	3.192641e+000
6.873561575312224e-005	-2.592152e+000	3.184575e+000
6.895406140898623e-005	-2.581004e+000	3.176525e+000
6.917250706485021e-005	-2.570329e+000	3.168490e+000
6.939095272071419e-005	-2.560128e+000	3.160471e+000
6.960939837657818e-005	-2.550402e+000	3.152468e+000
6.982784403244217e-005	-2.541149e+000	3.144481e+000
7.004628968830615e-005	-2.532369e+000	3.136509e+000
7.099999999999988e-005	-2.490367e+000	3.101906e+000
7.128948918833132e-005	-2.476868e+000	3.091468e+000
7.157897837666277e-005	-2.464075e+000	3.081061e+000
7.186846756499421e-005	-2.451988e+000	3.070687e+000
7.215795675332565e-005	-2.440606e+000	3.060343e+000
7.244744594165709e-005	-2.429931e+000	3.050032e+000
7.273693512998853e-005	-2.419961e+000	3.039752e+000
7.302642431831997e-005	-2.410697e+000	3.029504e+000
