time	V(sin32)	V(vout)
1.525780000389307e-005	2.193547e+000	1.245615e+000
1.527128409389497e-005	2.192908e+000	1.245350e+000
1.531761538689697e-005	2.190714e+000	1.244440e+000
1.537474255335113e-005	2.188009e+000	1.243316e+000
1.546406504572953e-005	2.183779e+000	1.241558e+000
1.555338753810794e-005	2.179549e+000	1.239798e+000
1.564271003048634e-005	2.175319e+000	1.238037e+000
1.573203252286474e-005	2.171090e+000	1.236275e+000
1.582135501524315e-005	2.166860e+000	1.234510e+000
1.591067750762155e-005	2.162630e+000	1.232745e+000
1.599999999999996e-005	2.158400e+000	1.230978e+000
1.605836181392734e-005	2.155607e+000	1.229822e+000
1.705288947146744e-005	2.107990e+000	1.210036e+000
1.733748914862753e-005	2.093726e+000	1.204341e+000
1.762208882578762e-005	2.080175e+000	1.198634e+000
1.790668850294772e-005	2.067336e+000	1.192915e+000
1.819128818010781e-005	2.055208e+000	1.187184e+000
1.847588785726790e-005	2.043793e+000	1.181440e+000
1.876048753442799e-005	2.033090e+000	1.175685e+000
1.904508721158808e-005	2.023099e+000	1.169917e+000
1.919899172482968e-005	2.013421e+000	1.166793e+000
1.935289623807127e-005	2.003894e+000	1.163667e+000
1.950680075131287e-005	1.994518e+000	1.160538e+000
1.966070526455447e-005	1.985294e+000	1.157406e+000
1.981460977779606e-005	1.976222e+000	1.154271e+000
1.996851429103766e-005	1.967300e+000	1.151133e+000
2.012241880427926e-005	1.958530e+000	1.147993e+000
2.103798107285057e-005	1.913266e+000	1.129257e+000
2.200991460523955e-005	1.864669e+000	1.109280e+000
2.300838739151853e-005	1.802178e+000	1.088682e+000
2.399999999999993e-005	1.764544e+000	1.068168e+000
2.504377871850373e-005	1.711349e+000	1.046533e+000
2.544379698224603e-005	1.690854e+000	1.038235e+000
2.544379798224603e-005	1.690854e+000	1.038235e+000
2.544379998224602e-005	1.690853e+000	1.038235e+000
2.544380398224601e-005	1.690853e+000	1.038235e+000
2.544380698224599e-005	1.690853e+000	1.038235e+000
2.544380722356273e-005	1.690853e+000	1.038235e+000
2.544380770619619e-005	1.690853e+000	1.038235e+000
2.544380867146334e-005	1.690853e+000	1.038235e+000
2.544381060199741e-005	1.690853e+000	1.038235e+000
2.544381446306556e-005	1.690853e+000	1.038235e+000
2.544382218520186e-005	1.690852e+000	1.038235e+000
2.544383762947467e-005	1.690852e+000	1.038234e+000
2.544386851802030e-005	1.690850e+000	1.038234e+000
2.544390469269640e-005	1.690848e+000	1.038233e+000
2.544395071408514e-005	1.690846e+000	1.038232e+000
2.544400680145817e-005	1.690843e+000	1.038231e+000
2.544410158285900e-005	1.690838e+000	1.038229e+000
2.544420995509314e-005	1.690832e+000	1.038227e+000
2.544430961897467e-005	1.690827e+000	1.038225e+000
2.544432207774632e-005	1.690827e+000	1.038224e+000
2.544434699528982e-005	1.690825e+000	1.038224e+000
2.544439683037684e-005	1.690823e+000	1.038223e+000
2.544449532482923e-005	1.690818e+000	1.038221e+000
2.544455740982133e-005	1.690815e+000	1.038219e+000
2.544459932105254e-005	1.690812e+000	1.038218e+000
2.544462439911630e-005	1.690811e+000	1.038218e+000
2.544464805894560e-005	1.690810e+000	1.038218e+000
2.544467342058699e-005	1.690809e+000	1.038217e+000
2.544472414386999e-005	1.690806e+000	1.038216e+000
2.544482559043598e-005	1.690801e+000	1.038214e+000
2.544488725929935e-005	1.690798e+000	1.038213e+000
2.544494883222645e-005	1.690795e+000	1.038211e+000
2.544499301658770e-005	1.690792e+000	1.038210e+000
2.544501456839621e-005	1.690791e+000	1.038210e+000
2.544504298897178e-005	1.690790e+000	1.038209e+000
2.544506382926156e-005	1.690789e+000	1.038209e+000
2.544508986948623e-005	1.690787e+000	1.038208e+000
2.544514194993534e-005	1.690785e+000	1.038207e+000
2.544524611083378e-005	1.690779e+000	1.038205e+000
2.544537750457537e-005	1.690773e+000	1.038202e+000
2.544552149547248e-005	1.690765e+000	1.038199e+000
2.544569379930514e-005	1.690756e+000	1.038196e+000
2.544590529596344e-005	1.690746e+000	1.038191e+000
2.544618460708433e-005	1.690731e+000	1.038186e+000
2.544645413611645e-005	1.690717e+000	1.038180e+000
2.544674284603115e-005	1.690703e+000	1.038174e+000
2.544712588418443e-005	1.690683e+000	1.038166e+000
2.544753313852275e-005	1.690662e+000	1.038158e+000
2.544792234157687e-005	1.690642e+000	1.038150e+000
2.544844473677949e-005	1.690616e+000	1.038139e+000
2.544913575620910e-005	1.690580e+000	1.038124e+000
2.545008480269611e-005	1.690531e+000	1.038105e+000
2.545171256879315e-005	1.690448e+000	1.038071e+000
2.545496810098745e-005	1.690281e+000	1.038003e+000
2.546147916537584e-005	1.689948e+000	1.037868e+000
2.547117357230909e-005	1.689451e+000	1.037667e+000
2.548236460539369e-005	1.688878e+000	1.037435e+000
2.549573205539585e-005	1.688193e+000	1.037158e+000
2.551022220516406e-005	1.687450e+000	1.036857e+000
2.552607760837231e-005	1.686638e+000	1.036528e+000
2.554149925410986e-005	1.685848e+000	1.036208e+000
2.555687073610077e-005	1.685060e+000	1.035889e+000
2.557192425658907e-005	1.684289e+000	1.035577e+000
2.558809199653409e-005	1.683460e+000	1.035241e+000
2.560719173899705e-005	1.682482e+000	1.034845e+000
2.561763297016383e-005	1.681947e+000	1.034628e+000
2.562832431762373e-005	1.681399e+000	1.034407e+000
2.564003034193920e-005	1.680799e+000	1.034164e+000
2.565230571107487e-005	1.680170e+000	1.033909e+000
2.566514018374744e-005	1.679513e+000	1.033643e+000
2.567877164067855e-005	1.678814e+000	1.033360e+000
2.569305358866196e-005	1.678083e+000	1.033063e+000
2.570825299792550e-005	1.677304e+000	1.032748e+000
2.572463146335749e-005	1.676465e+000	1.032408e+000
2.574369125706282e-005	1.675488e+000	1.032013e+000
2.576085675050680e-005	1.674609e+000	1.031657e+000
2.577369710936609e-005	1.673951e+000	1.031390e+000
2.578691098047820e-005	1.673274e+000	1.031116e+000
2.580175078334412e-005	1.672513e+000	1.030808e+000
2.581706855030240e-005	1.671729e+000	1.030490e+000
2.583137759978177e-005	1.670996e+000	1.030193e+000
2.584432700144623e-005	1.670332e+000	1.029924e+000
2.585878696881446e-005	1.669591e+000	1.029624e+000
2.587201304250146e-005	1.668913e+000	1.029350e+000
2.588723659942369e-005	1.668133e+000	1.029034e+000
2.590314557583727e-005	1.667318e+000	1.028704e+000
2.592339588588935e-005	1.666281e+000	1.028284e+000
2.594837602858916e-005	1.665001e+000	1.027765e+000
2.598119313670586e-005	1.663320e+000	1.027084e+000
2.599999999999998e-005	1.662356e+000	1.026694e+000
2.600427635745172e-005	1.662135e+000	1.026605e+000
2.601282907235521e-005	1.661694e+000	1.026428e+000
2.602993450216218e-005	1.660811e+000	1.026073e+000
2.606414536177634e-005	1.659044e+000	1.025363e+000
2.610092321250388e-005	1.657146e+000	1.024600e+000
2.613526070991182e-005	1.655373e+000	1.023887e+000
2.616816235968800e-005	1.653674e+000	1.023204e+000
2.620365330989688e-005	1.651842e+000	1.022468e+000
2.624020599296213e-005	1.649955e+000	1.021709e+000
2.627267164648228e-005	1.648279e+000	1.021036e+000
2.630120584959351e-005	1.646806e+000	1.020444e+000
2.633129786395105e-005	1.645252e+000	1.019819e+000
